tt0111068,Preity G Zinta,Akshay Kumar,Ashutosh Rana,Vishwajeet Pradhan,Aman Verma,Madan Jain,Alia Bhatt,Ninad Kamat,Abhay Chopra,S.M. Zaheer
tt0113747,Joe Cortese,Michael McGrady,Michael Stone,Tom Bower,Brion James,Mark Carlton,Tim Thomerson,Aleks Shaklin,Lou Rawls,Charles Robinson
tt0116408,Scott Shaw,Joe Haggerty,Fred Olen Ray,Slain Wayne,Julie Lunar Strom,Nancy Vee,Joycelyne Lew,Valerie Quade,,
tt0116703,Brendan Fletcher,Ike Gingrich,Rosemary Welden,Honey Lauren,Arlmone Smith,Adrienne Frantz,Gregorio,John Truong,John Epps,John Billingsley
tt0115675,William Hurt,Nigel Hawthorne,Miranda Richardson,Irène Jacob,Ewan Stewart,Gregg Henry,Ron Livingston,Jefferson Mays,Jim Metzler,Carmine Giovinazzo
tt0119028,Danny Aiello,William Forsythe,Jessica DiCicco,Jarrod Bunch,John Battista,Federico Castelluccio,Leonardo Cimino,Polly Draper,Mark Margolis,Michael Margotta
tt0118777,Jean-Christophe Bouvet,Raquel Marques,Francisco Relvas,Ricardo Aibéo,Paula Só,Isabel de Castro,Pedro Alpiarça,Carlos Melo,Katia Leclerc O'Wallis,Pedro Duque
tt0119079,Ralph Fiennes,Liv Tyler,Toby Stephens,Lena Headey,Martin Donovan,Alun Armstrong,Simon McBurney,Harriet Walter,Jason Watkins,Irene Worth
tt0117617,Costas Mandylor,Heidi Schanz,Valerie Perrine,Olivia Hussey,Audie England,Ayrin Leigh,Anya Longwell,Elina Madison,Darren Foy,Justin Carroll
tt0119603,Pauline Cadell,Rui Morisson,Alexandre Pinto,Alícia Gomes da Costa,Fábio Silva,José Pinto,Luís Lima Barreto,Manuela Carona,Maria Santos,Lia Gama
tt0119208,Rick Rodney,Bobby Field,Christi Allen,Stewart Teggart,Chad Nell,Sean Atkins,Fletcher Dragge,Dino Doane,Warren Fitzgerald,Marti Noxon
tt0120784,Mel Gibson,Gregg Henry,Maria Bello,David Paymer,Bill Duke,Deborah Kara Unger,John Glover,William Devane,Lucy Liu,Jack Conley
tt0119849,Pascal Ulli,Annett Renneberg,Mareike Fell,Mina Tander,Bela B.,Uwe Bertram,Daniel Fehlow,Jürgen Heinrich,Chris Hohenester,Robert Kuchenbuch
tt0120855,Tony Goldwyn,Minnie Driver,Brian Blessed,Glenn Close,Nigel Hawthorne,Lance Henriksen,Wayne Knight,Alex D. Linz,Rosie O'Donnell,Beth Anderson
tt0121744,Alan Barker,Billy Boyle,Stephen Brennan,Gary Cady,Denny Cain,Virginia Cole,Andrew Connolly,Timothy Davies,Peter Dix,Andrew Dixon
tt0120606,,,,,,,,,,
tt0120593,Tyne Daly,Marla Sucharetza,Marceline Hugot,Ally Sheedy,Davidlee Willson,Lisa Keller,Bobbie Steinbach,Will Lyman,John Fiore,June Lion
tt0120500,Jeff Fahey,Carl Marotte,Marlee Matlin,Charles Edwin Powell,Sean Milliken,Chuck Shamata,Jack Langedijk,Alan Fawcett,Sabrina Boudot,Paulina Abarca-Cantin
tt0120188,George Clooney,Mark Wahlberg,Ice Cube,Spike Jonze,Cliff Curtis,Nora Dunn,Jamie Kennedy,Saïd Taghmaoui,Mykelti Williamson,Holt McCallany
tt0120899,Colin Firth,Rosemary Harris,Irène Jacob,Mary Elizabeth Mastrantonio,Malcolm McDowell,Robert Norman,Tchéky Karyo,Kelly Macdonald,Roddy McDonald,Daniel Baird
tt0120646,Michelle Pfeiffer,Treat Williams,Whoopi Goldberg,Jonathan Jackson,Cory Buck,Ryan Merriman,Alexa PenaVega,Michael McGrady,Brenda Strong,Michael McElroy
tt0120601,John Cusack,Cameron Diaz,Catherine Keener,John Malkovich,Ned Bellamy,Eric Weinstein,Madison Lanc,Octavia Spencer,Mary Kay Place,Orson Bean
tt0120620,Claire Danes,Kate Beckinsale,Bill Pullman,Jacqueline Kim,Lou Diamond Phillips,Daniel Lapaine,Tom Amandes,Aimee Graham,John Doe,Kay Tong Lim
tt0120381,Kirsten Dunst,Zachery Ty Bryan,August Schellenberg,Dey Young,Michael Gross,Tom McBeath,Ben Cardinal,John Novak,Vincent Gale,Darren Moore
tt0123078,Melanie Lynskey,Wil Wheaton,Corin Nemec,Yelena Danova,Steve Valentine,Blaire Baron,Douglas Coler,Lisa LoCicero,Alice Cunningham,Guy Lewis
tt0120790,Saúl Fonseca,Fernanda Serrano,Joaquim Leitão,Sandro Silva,Vítor Norte,Guilherme Leme,Nicolau Breyner,Rogério Samora,Zita Duarte,Carlos Rodrigues
tt0120797,John Cusack,Billy Bob Thornton,Cate Blanchett,Angelina Jolie,Jake Weber,Kurt Fuller,Vicki Lewis,Matt Ross,Jerry Grayson,Michael Willis
tt0123376,René Bazinet,Frank Langella,Mako,Julie Cox,Heathcote Williams,Brian Dewhurst,Clipper Miano,Andre Sleegers,Chip Bray,Matthias Krahnert
tt0120613,Diane Lane,Viggo Mortensen,Bobby Boriello,Anna Paquin,Tovah Feldshuh,Liev Schreiber,Julie Kavner,Stewart Bick,Jess Platt,Mahée Paiement
tt0120663,Tom Cruise,Nicole Kidman,Todd Field,Sydney Pollack,Madison Eginton,Jackie Sawiris,Leslie Lowe,Peter Hans Benson,Michael Doven,Sky du Mont
tt0123209,Juliette Lewis,Diane Keaton,Giovanni Ribisi,Tom Skerritt,Poppy Montgomery,Sarah Paulson,Linda Thorson,Joe Flanigan,Juliet Mills,Tracy Reiner
tt0120662,Ewan McGregor,Ashley Judd,Patrick Bergin,Geneviève Bujold,k.d. lang,Jason Priestley,Anne-Marie Brown,Kaitlin Brown,David Nerman,Steven McCarthy
tt0120683,Sharon Stone,Jean-Luke Figueroa,Jeremy Northam,Cathy Moriarty,George C. Scott,Mike Starr,Bonnie Bedelia,Barry McEvoy,Don Billett,Jerry Dean
tt0120857,Maggie Smith,Judi Dench,Joan Plowright,Cher,Lily Tomlin,Baird Wallace,Charlie Lucas,Massimo Ghini,Paolo Seganti,Claudio Spadaro
tt0120689,Tom Hanks,Michael Clarke Duncan,David Morse,Bonnie Hunt,James Cromwell,Michael Jeter,Graham Greene,Doug Hutchison,Sam Rockwell,Barry Pepper
tt0120655,Ben Affleck,Matt Damon,Linda Fiorentino,Bud Cort,Barret Hackney,Jared Pfennigwerth,Kitao Sakurai,George Carlin,Brian O'Halloran,Betty Aberlin
tt0120798,Miguel Guilherme,Elsa Valentim,José Wallenstein,Raquel Dias,Bruno Bravo,Anabela Brígida,Pedro Carraca,Laurinda Ferreira,João Salaviza,Marthe Rodrigues
tt0120710,Annette Bening,Robert Downey Jr.,Katie Sagona,Aidan Quinn,Paul Guilfoyle,Kathleen Langlois,Jennifer Berry,Emma J. Brown,Jennifer Dragon,Samantha Kelly
tt0120716,Robin Williams,Hannah Taylor Gordon,Éva Igó,István Bálint,Justus von Dohnányi,Kathleen Gati,Bob Balaban,Alan Arkin,Michael Jeter,Mark Margolis
tt0120775,Tom Berenger,Joaquim de Almeida,Daniela Romo,Mark Moses,Stuart Graham,Gregg Fitzgerald,Don Wycherley,Wolf Muser,Luke Hayden,Ilia Volok
tt0120834,Ethan Hawke,Max von Sydow,Yûki Kudô,Reeve Carney,Anne Suzuki,Rick Yune,James Rebhorn,James Cromwell,Richard Jenkins,Arija Bareikis
tt0120866,Anthony Hopkins,Jessica Lange,Osheen Jones,Dario D'Ambrosi,Raz Degan,Jonathan Rhys Meyers,Matthew Rhys,Harry Lennix,Angus Macfadyen,Kenny Doughty
tt0120829,Dedee Pfeiffer,Laura Leighton,Teri Garr,Howard Hesseman,Bert Remsen,Lorraine Toussaint,Fran Bennett,Eric Close,Ann LeSchander,Toni Sawyer
tt0124315,Tobey Maguire,Charlize Theron,Michael Caine,Delroy Lindo,Paul Rudd,Jane Alexander,Kathy Baker,Erykah Badu,Kieran Culkin,Kate Nelligan
tt0122132,Julie Bowen,Traci Lords,Dawn Maxey,Michael Sottile,David Packer,Scott Trost,Neal McDonough,Walter Olkewicz,Gabrielle Beimford,Ed Evanko
tt0122194,Jeremy Sisto,Eric Michael Cole,Jaime Pressly,Grace Zabriskie,D.J. Dierker,Jonathan Banks,Charles Venturi,Marisa Ryan,Brian Krause,Veronica Cartwright
tt0123320,Anthony Calf,Paola Caprara,Massimo Ghini,Caroline Harker,Roberto Nobile,Hanna Obbeek,Rosa Pianeta,Johanna ter Steege,Gavino Bondioli,Jan Obbeek
tt0124811,Adolfo Assor,Thomas Baumann,Isa Hochgerner,Verena Jasch,Wolfgang Michael,Urs Remond,Daniela Roque-Magalhaes,,,
tt0122743,Jaimz Woolvett,Breckin Meyer,Jake Busey,Elizabeth Berkley,Tanya Allen,Ben Derrick,Doug Hardwick,Denise Richards,Marcus Hondro,Tristin Leffler
tt0124119,Peter Facinelli,Jay R. Ferguson,Rodney Eastman,Chris Isaak,Heather Stephens,Will Estes,Garvin Funches,Brent Jennings,Amy Irving,Tom Arnold
tt0123964,Eddie Murphy,Martin Lawrence,Obba Babatundé,Nick Cassavetes,Anthony Anderson,Barry Shabaka Henley,Brent Jennings,Bernie Mac,Miguel A. Núñez Jr.,Michael Taliferro
tt0125439,Hugh Grant,Julia Roberts,Richard McCabe,Rhys Ifans,James Dreyfus,Dylan Moran,Roger Frost,Henry Goodman,Julian Rhind-Tutt,Lorelei King
tt0125664,Jim Carrey,Danny DeVito,Gerry Becker,Greyson Erik Pendry,Brittany Colonna,Leslie Lyles,Bobby Boriello,George Shapiro,Budd Friedman,Tom Dreesen
tt0125507,Silje Storstein,Tomas von Brömssen,Andrine Sæther,Bjørn Floberg,Hans Alfredson,Nils Vogt,Minken Fosheim,Edda Trandum Grjotheim,Arne Haakonaasen Dahl,Sullivan Lloyd Nordrum
tt0126916,Kevin Costner,Kelly Preston,John C. Reilly,Jena Malone,Brian Cox,J.K. Simmons,Vin Scully,Steve Lyons,Carmine Giovinazzo,Bill E. Rogers
tt0125971,Shawn Hatosy,Amy Smart,Alec Baldwin,Tommy Bone,Samantha Lavigne,Jonathan Brandis,Adam LaVorgna,Jesse Leach,Jon Abrahams,Richard Jenkins
tt0126240,Nisha Ganatra,Jill Hennessy,Sakina Jaffrey,Madhur Jaffrey,Nick Chinlund,Cara Buono,Ajay Naidu,Daniella Rich,Monica Bhatia,Cristal Chindamo
tt0126250,Glenn Close,Julianne Moore,Liv Tyler,Chris O'Donnell,Charles S. Dutton,Patricia Neal,Ned Beatty,Courtney B. Vance,Donald Moffat,Lyle Lovett
tt0126727,Mackenzie Phillips,Downtown Julie Brown,Fabrice Morvan,Victoria Guthrie,Claire Beckman,Jane Culley,Paul Dinello,Grainger Hines,Judy Krause,Dominic Marcus
tt0126859,Julian Sands,Saffron Burrows,Stefano Dionisi,Kelly Macdonald,Gina McKee,Jonathan Rhys Meyers,Bernard Hill,Rossy de Palma,John Cowey,Nina McKay
tt0126651,Dolores Heredia,Demián Bichir,Alberto Estrella,Pedro Altamirano,Roberto Cobo,Roger Cudney,Mónica Dionne,Juan Duarte,Josefina Echánove,Felipe Ehrenberg
tt0126680,David Lansbury,Ernie Hudson,Martin Sheen,Bill Raymond,Sean Nelson,Jean Louisa Kelly,Tom Aldredge,Rusty De Wees,Larry Pine,Michael Ryan Segal
tt0128977,Janet Paparazzo,Elijah Wood,Janeane Garofalo,George Gore II,Joe Perrino,Roger Rees,Oni Faida Lampley,Jeffrey Force,Christopher Mark Petrizzo,Rachael Leigh Cook
tt0128378,Izabella Scorupco,Michal Zebrowski,Aleksandr Domogarov,Jacek Rozenek,Krzysztof Kowalewski,Bogdan Stupka,Andrzej Seweryn,Zbigniew Zamachowski,Wiktor Zborowski,Wojciech Malajkat
tt0128170,Maurice Compte,Paddy Connor,Jeanne Heaton,Patrick Shining Elk,Larry John Meyers,David Reece,Leslie Orr,Amanda Lanier,Danny Morris,Buck Truitt
tt0128239,Pierce Brosnan,Stewart Bick,Vlasta Vrana,Annie Galipeau,Neil Kroetsch,Serge Houde,Peter Colvey,Nathaniel Arcand,Jacques Lussier,Lee-Roy Jacobs
tt0129167,Eli Marienthal,Harry Connick Jr.,Jennifer Aniston,Vin Diesel,James Gammon,Cloris Leachman,Christopher McDonald,John Mahoney,M. Emmet Walsh,Jack Angel
tt0128137,Ben Kingsley,Amy Irving,Ryan Marsini,Alec Baldwin,Boyd Gaines,Anne Twomey,Lázaro Pérez,Becky Ann Baker,Mike Hodge,Mark Ethan
tt0128278,Anthony Hopkins,Cuba Gooding Jr.,Donald Sutherland,Maura Tierney,George Dzundza,John Ashton,John Aylward,Thomas Q. Morris,Doug Spinuzza,Paul Bates
tt0130444,Maria Schrader,Juliane Köhler,Johanna Wokalek,Heike Makatsch,Elisabeth Degen,Detlev Buck,Inge Keller,Kyra Mladeck,Sarah Camp,Klaus Manchen
tt0130761,Saskia Reeves,Christopher Eccleston,Kate Hardie,Rhys Ifans,Anna Chancellor,Matthew Rhys,Jack Deam,Kate Rutter,Nicholas Moss,Bill Paterson
tt0130971,Sébastien Gauthier,Martin Larocque,Frank Fontaine,Guy Héroux,Francis Reddy,Julian Casey,Sean Devine,Sylvain Bélanger,Claude Gauthier,Micheline Lanctôt
tt0131369,Matthew McConaughey,Jenna Elfman,Geoffrey Blake,Gail Boggs,Jenna Byrne,Merrin Dungey,Ian Gomez,Gavin Grazer,Chris Hogan,Arianna Huffington
tt0132512,Val Kilmer,Mira Sorvino,Kelly McGillis,Steven Weber,Bruce Davison,Nathan Lane,Ken Howard,Laura Kirk,Margo Winkler,Diana Krall
tt0131349,Sherilyn Fenn,Ray Winstone,Tim Dutton,Anita Dobson,Bryan Pringle,Robin McCaffrey,Michael Praed,Oliver Tobias,Andrew Dixon,Rebecca De-Yoxall
tt0132502,Colin Firth,Nia Long,Dan Lett,Joke Silva,Ariyon Bakare,Joy Elias-Rilwan,Hakeem Kae-Kazim,Bella Enahoro,Fizzy Roberts,Rakie Ayola
tt0131421,Jamie Harrold,Moira Kelly,Susan Blommaert,Andrew Bowser,John Griesemer,Eden Riegel,James Villemaire,Sam Boynton,Malina Dumas,Richard Bowman
tt0132905,Fernando Luján,Marisa Paredes,Salma Hayek,Rafael Inclán,Ernesto Yáñez,Daniel Giménez Cacho,Esteban Soberanes,Patricia Reyes Spíndola,Odiseo Bichir,Julián Pastor
tt0131566,Ewan McGregor,Anna Friel,Cristian Solimeno,Lorna Pegler,David Fahm,Tim McInnerny,Cecil Chang,Michelle Wen Lee,Michael Garner,Sharon Duce
tt0132164,Jeremy Davies,Virginia Madsen,Luke Perry,Mary Stuart Masterson,Michael Madsen,Chris Penn,Hal Holbrook,Tom Sizemore,Jim Belushi,Maeve Quinlan
tt0132477,Jake Gyllenhaal,Chris Cooper,Laura Dern,Chris Owen,William Lee Scott,Chad Lindberg,Natalie Canerday,Scott Thomas,Randy Stripling,Chris Ellis
tt0133877,Ariane Ascaride,Vincent Elbaz,Rossy de Palma,Johan Leysen,Julie Gayet,Adriana Asti,Giulio Bosetti,Jacqueline Danno,Beppe Chierici,Pascale Lievyn
tt0132160,Julie Harris,Dan Byrd,Mickey Rooney,Charles Nelson Reilly,Tom Nowicki,Robin O'Dell,Gerard Christopher,Mikki Scanlon,Joe DiMaggio,Jim Accomando
tt0132563,Richard Harris,John Michie,Kerry Fox,Ian Bannen,Hugh Quarshie,Honor Blackman,Geraldine Chaplin,Guy Williams,David Mulwa,Fred Opondo
tt0134119,Matt Damon,Gwyneth Paltrow,Jude Law,Cate Blanchett,Philip Seymour Hoffman,Jack Davenport,James Rebhorn,Sergio Rubini,Philip Baker Hall,Celia Weston
tt0133412,Alessandro Nivola,Reese Witherspoon,Josh Brolin,Gene Wolande,Jonathan McMurtry,Terrance Sweeney,Rebecca Klingler,Rocky Carroll,Kate Hendrickson,Owen Bush
tt0133327,Kevin Isola,Aida Turturro,Stephen Mailer,David Burtka,Robert T. Bogue,Mary Louise Wilson,Mark Bateman,Sybyl Walker,John Rothman,Johann Carlo
tt0134033,Robert Carlyle,Jonny Lee Miller,Iain Robertson,Ken Stott,Liv Tyler,Stephen Walters,James Thornton,Terence Rigby,Christian Camargo,Karel Polisenský
tt0134154,Tobey Maguire,Skeet Ulrich,Jewel,Jeremy W. Auman,Scott Sener,Glenn Q. Pierce,Kathleen Warfel,David Darlow,Zan McLeod,John Whelan
tt0134618,Russell Crowe,Burt Reynolds,Hank Azaria,Mary McCormack,Colm Meaney,Lolita Davidovich,Maury Chaykin,Ron Eldard,Ryan Northcott,Michael Buie
tt0134273,Nicolas Cage,Joaquin Phoenix,James Gandolfini,Peter Stormare,Anthony Heald,Chris Bauer,Catherine Keener,Myra Carter,Amy Morton,Jenny Powell
tt0135790,Oliver Korittke,Markus Knüfken,Ralf Richter,Diether Krebs,Martin Semmelrogge,Heinrich Giskes,Christian Kahrmann,Alexandra Neldel,Monica Nancy Wick,Willi Thomczyk
tt0136423,Myriam Abbas,Dominique Horwitz,Oliver Breite,Susanne Bormann,Michael Gwisdek,Ricardo Valentim,Ade Sapara,Imogen Kogge,Horst Krause,Axel Prahl
tt0137148,Thomas Brandise,Mariana Carreno,Robert B. Alexander,Aesha Waks,Molly Castelloe,Kevin O'Brien,Eric Reyes,Brooke Lewis Bellas,Carl Low,Kenneth Wilson
tt0137079,Gandi Mukli,Baki Davrak,Erdal Yildiz,Inge Keller,Michael Gerber,Murat Yilmaz,Hasan Ali Mete,Hakan Tandogan,Cihangir Gümüstürkmen,Celal Perk
tt0138787,Kentaro Seagal,Shannon Elizabeth,Peter Alexander,Lee Benton,Melinda Scherwinski,Broc Benedict,Myke Michaels,Michael Calder,Christopher Calvert,Sonny McNeillie
tt0139151,Jean-Claude Van Damme,Pat Morita,Danny Trejo,Gabrielle Fitzpatrick,Larry Drake,Vincent Schiavelli,David 'Shark' Fralick,Silas Weir Mitchell,Jonathan Avildsen,Jaime Pressly
tt0138829,Vince Poletto,Victoria Dixon-Whittle,Lucia Mastrantone,Mario Gamma,Robert Mammone,Checc Musolino,Marco Venturini,Charlotte Rose,Nic Hurcombe,Maris J. Caune
tt0137195,Jennifer Rubin,Erik Palladino,Billy Jayne,Tony Denison,Richard Portnow,Brian Vander Ark,Catherine Dyer,Chris Codol,Jon Polito,Matthew Brannan
tt0137523,Brad Pitt,Edward Norton,Meat Loaf,Zach Grenier,Richmond Arquette,David Andrews,George Maguire,Eugenie Bondurant,Christina Cabot,Helena Bonham Carter
tt0138834,Jeremy Hollingworth,Christian Camargo,Stephen Lang,Julie Kavner,Lauren Ward,Howie Ravikoff,Cherelle Cargill,Bill Velin,Gerry Becker,Chris Payne Gilbert
tt0139668,Clint Eastwood,Isaiah Washington,LisaGay Hamilton,James Woods,Denis Leary,Bernard Hill,Diane Venora,Michael McKean,Michael Jeter,Mary McCormack
tt0140397,Loren Dean,Hope Davis,Jason Lee,Alfre Woodard,Mary McDonnell,Pruitt Taylor Vince,Zooey Deschanel,Martin Short,David Paymer,Jane Adams
tt0138387,Alexandre Manning,David Lee McInnis,Gio Park,Regina A. Stewart,Yasuaki Nakajima,Tom Hom,Connie Wu,Aleides Torres,Young Lee,Grant Chang
tt0138689,Lynn Evans,Mark Fish,Michael Stone,Rocky Venegas,Patrick Cartmel,Axel Anderson,Amanda Byron,Tanya Soler,Pablo Cunqueiro,Elena Colomé
tt0137363,Jeff Bridges,Tim Robbins,Joan Cusack,Hope Davis,Robert Gossett,Mason Gamble,Spencer Treat Clark,Stanley Anderson,Viviane Vives,Lee Stringer
tt0137338,Ben Affleck,Casey Affleck,Dave Chappelle,Guillermo Diaz,Jennifer Albano,Jenni Blong,Morgan Brown,Caleb Carr,Elvis Costello,Angela Featherstone
tt0140352,Russell Crowe,Al Pacino,Christopher Plummer,Diane Venora,Philip Baker Hall,Lindsay Crouse,Debi Mazar,Stephen Tobolowsky,Colm Feore,Bruce McGill
tt0138531,Russell Page,Rebecca Yates,Martin Henderson,Radha Mitchell,Paul Mercurio,George Spartels,Philip Holder,Peter Gwynne,Zoe Bertram,Laurence Breuls
tt0138771,Helen Neville,Natalie Vansier,Thea Gumbert,Glenn McMillan,Danielle DeGrassi,Mignon Kent,Patrick Moore,Vince Poletto,Melissa Jaffer,Peter O'Brien
tt0139134,Sarah Michelle Gellar,Ryan Phillippe,Reese Witherspoon,Selma Blair,Louise Fletcher,Joshua Jackson,Eric Mabius,Sean Patrick Thomas,Swoosie Kurtz,Christine Baranski
tt0138304,Charlize Theron,Johnny Depp,Joe Morton,Clea DuVall,Donna Murphy,Nick Cassavetes,Samantha Eggar,Gary Grubbs,Blair Brown,Tom Noonan
tt0138493,Michael Parducci,Peter Jacobson,Judy Prescott,Kerr Smith,Hoyt Richards,John Fiore,J.K. Simmons,Jonathan Hogan,Teresa DePriest,Bill Cohen
tt0138420,Linda Cropper,Anna Lise Phillips,Jeff Truman,Scott Major,Wade Osborne,Abi Tucker,Bridie Carter,Stuart McCreery,Damian Rice,Clodagh Crowe
tt0138511,Matthew Modine,David Keith,John Hurt,Maggie Weatherly,Bruce Dern,Joe D'Angerio,Kevin J. O'Connor,Lisa Marie,Roger La Page,Zack Tiegen
tt0139606,Mickey Rourke,Gene Bervoets,Andrew Howard,Mireille Leveque,Jan Decleir,Mike Verdrengh,Hilde Van Mieghem,Tom Van Bauwel,Rudolf Segers,Koen De Bouw
tt0139882,Tuan Tran,Christopher Lance,Tom Lui,Chris Dalton,Hiep Thi Le,Joel Bofman,Steve Cardwell,Melissa Chan,Vicki Chan,Jeanne Chinn
tt0138750,Kevin Corrigan,Daisy Rojas,Amy Ryan,Bill Sage,Brian Tarantina,Johnny Tran,Ed Vassallo,Ben Epps,Tiprin Mandalay,Michalina Scorzelli
tt0138359,Todd Edwards,Peter Bedgood,Cory Edwards,Brad Knull,Jenny Labow,Katie Hooten,Robert Yanovitch,Troy Norton,Tony Leech,Lori Ann Beline
tt0138681,Christopher Walken,Peter McDonald,Anne Pitoniak,Kate Burton,Jim Mayzik,Vera Farmiga,Donal Logue,Cyndi Lauper,Paul D'Amato,Wally Dunn
tt0139394,Martin Landau,Kris Kristofferson,Shawn Hatosy,Heather McComb,Elisabeth Moss,Diane Venora,Debbie Bisno,Steve Bond,Michael Chieffo,Kathleen S. Dunn
tt0138885,Robert Mann,Teresa Gilmore,Paul Bollen,Rene Featherstone,Chris Valenti,Isabel de Donato,Anton Kraft,Heather Long,Tamara Mann,Jeff Durate
tt0139877,Fabrizio Bentivoglio,Valeria Bruni Tedeschi,Maya Sansa,Jacqueline Lustig,Pier Giorgio Bellocchio,Gisella Burinato,Elda Alvigini,Eleonora Danco,Fabio Camilli,Michele Placido
tt0140337,Laurel Holloman,Andy Davoli,Rachel Robinson,Burt Young,Lauren Hutton,Claudia Santorelli,David Goldsmith,Brianna Shea Russo,Brandon Fox,Michael Batt
tt0139462,Kevin Costner,Robin Wright,Paul Newman,John Savage,Illeana Douglas,Robbie Coltrane,Jesse James,Bethel Leslie,Tom Aldredge,Viveka Davis
tt0138874,Ngoc Hiep Nguyen,Ngoc Minh,Phat Trieu Hoang,Diem Kieu,Hanh Kieu,Duong Don,Huu Duoc Nguyen,Hong Son Le,Ba Quang Nguyen,Huu Su Tran
tt0140612,Ciarán Hinds,Juliet Aubrey,Natacha Régnier,Natalia Piatti,Ignazio Oliva,Sabine Bail,Caroline Carver,Harrine Cederholm,Tam Williams,Giuseppe Faraso
tt0139861,Rajinikanth,Soundarya,Rambha,Jaishankar,Ravichandran,Raghuvaran,V.K. Ramasamy,Visu,Nizhalgal Ravi,Senthil
tt0139699,James Van Der Beek,Jon Voight,Paul Walker,Ron Lester,Scott Caan,Richard Lineback,Tiffany C. Love,Amy Smart,Eliel Swinton,Thomas F. Duffy
tt0141116,Zoltán Mucsi,Péter Scherer,Annamária Prókay,Tünde Bacskó,Gábor Mádi Szabó,András Szöke,Dr. István Reinhardt,Roland Tzafetás,Réka Gévai,Sándor Badár
tt0145503,Ralph Fiennes,Rosemary Harris,Rachel Weisz,Jennifer Ehle,Deborah Kara Unger,Molly Parker,James Frain,David de Keyser,John Neville,Miriam Margolyes
tt0145681,Denzel Washington,Angelina Jolie,Queen Latifah,Michael Rooker,Michael McGlone,Luis Guzmán,Leland Orser,John Benjamin Hickey,Bobby Cannavale,Ed O'Neill
tt0143261,Stephen Baldwin,Danny Nucci,George Newbern,Alison Eastwood,Claudia Schiffer,Suzanne Cryer,David Rasche,Neill Barry,Leon,Ann Magnuson
tt0145653,Emily Watson,Robert Carlyle,Joe Breen,Ciaran Owens,Michael Legge,Ronnie Masterson,Pauline McLynn,Liam Carney,Eanna MacLiam,Andrew Bennett
tt0141974,Ray Winstone,Annabelle Apsion,Kate Ashfield,Lara Belmont,Freddie Cunliffe,Colin Farrell,Aisling O'Sullivan,Tilda Swinton,Megan Thorp,Kim Wall
tt0142215,Joël Dalpé-Drapeau,Denis Bouchard,Patrick Thomas,Mathieu Beaumier,Maude Gionet,Luc Guérin,Diane Lavallée,Suzanne Champagne,Cédric Pépin,Robert Toupin
tt0142342,Adam Sandler,Joey Lauren Adams,Jon Stewart,Cole Sprouse,Dylan Sprouse,Josh Mostel,Leslie Mann,Allen Covert,Rob Schneider,Kristy Swanson
tt0144688,Clea DuVall,Daryl Hannah,Tomas Arana,Eric Roberts,Richard Hillman,Eric Yetter,Robert Hass,John Doe,Sheila Tousey,Irene Bedard
tt0142201,Melanie Griffith,David Morse,Lucas Black,Cathy Moriarty,Meat Loaf,Rod Steiger,Richard Schiff,John Beasley,Robert Wagner,Noah Emmerich
tt0144286,Daniel Auteuil,Nastassja Kinski,Katrin Cartlidge,Marianne Denicourt,Ciarán Hinds,Billie Whitelaw,Cyril Shaps,Bruce Greenwood,Jamie Harris,Hemal Pandya
tt0143924,Patrick Bergin,Griffith Brewer,Serge Houde,Don Jordan,Gordon Masten,Barry Morse,Joanna Noyes,Ian O'Donnell,Clare Sims,Michael Sinelnikoff
tt0144669,Stephen Shellen,Kari Wuhrer,Ilene Kristen,,,,,,,
tt0142804,Christopher Lambert,Mike Anscombe,Jeff J.J. Authors,Patrick Chilvers,David Cronenberg,Jayne Eastwood,Darren Enkin,David Ferry,Jan Filips,Rick Fox
tt0144715,Kate Winslet,Harvey Keitel,Julie Hamilton,Sophie Lee,Dan Wyllie,Paul Goddard,Tim Robertson,George Rafael,Kerry Walker,Les Dayman
tt0143746,Elisabeth Shue,Aaron Eckhart,Jill Hennessy,Thomas Jane,D.W. Moffett,Elizabeth Mitchell,Robert Harper,Elaine Hendrix,Michael Paul Chan,Lucy Liu
tt0143900,Ill-Young Kim,Armin Rohde,Maruschka Detmers,Florian Lukas,Axel Milberg,Timo Rathjens,Matthias Laaser,Doreen Jacobi,Benno Fürmann,Christian Redl
tt0144201,Vanessa Paradis,Daniel Auteuil,Frédéric Pfluger,Dimitris Georgalas,Catherine Lascault,Isabelle Petit-Jacques,Mireille Mossé,Didier Lemoine,Bertie Cortez,Stéphane Metzger
tt0144134,Charlotte Rampling,Alan Bates,Tushka Bergen,Frances de la Tour,Gerard Butler,Andrew Howard,Melanie Lynskey,Katrin Cartlidge,Xander Berkeley,Michael Gough
tt0145893,Sarah Michelle Gellar,Sean Patrick Flanery,Patricia Clarkson,Dylan Baker,Lawrence Gilliard Jr.,Christopher Durang,Betty Buckley,Olek Krupa,Amanda Peet,Alex Draper
tt0143944,Alessandro Gassmann,Béatrice Dalle,Raf Vallone,Venantino Venantini,Elena Varzi,Martin Esposito,Roland Marchisio,Salvatore Ingoglia,Bruno Delahaye,Mario Iera
tt0144214,John Travolta,Madeleine Stowe,James Cromwell,Timothy Hutton,Leslie Stefanson,Daniel von Bargen,Clarence Williams III,James Woods,Peter Weireter,Mark Boone Junior
