0,1,2,3
tt3530978,La corrispondenza,"6,1",14
tt3531260,Hot Air,"7,4",17
tt3531824,Nerve,"6,5",67
tt3533338,The Darkest Universe,"5,5",67
tt3539432,Children,"4,4",64
tt3538592,Desolation,NO DATA,NO DATA
tt3540016,Kotigobba 2,"6,6",53
tt3543976,The Lion,NO DATA,84
tt3544218,Belgica,"6,7",53
tt3544112,Sing Street,"7,9",95
tt3546678,Beyond the Game,"5,7",NO DATA
tt3548276,Retribution,"5,3",98
tt3548664,Guaraní,"7,4",NO DATA
tt3548978,West of Her,"5,4",NO DATA
tt3553976,Captain Fantastic,"7,8",83
tt3553622,Crossing Streets,"5,6",6
tt3552320,Dying Candle,"8,5",NO DATA
tt3553126,Interlude City of a Dead Woman,"6,0",3
tt3553378,Sugar Mountain,"5,5",36
tt3556394,Dora's Peace,"8,4",NO DATA
tt3553442,Whiskey Tango Foxtrot,"6,6",68
tt3565054,Zoya,"6,8",NO DATA
tt3563080,Saya E Khuda E Zuljalal,"6,1",NO DATA
tt3564858,Last Call at Murray's,"5,8",NO DATA
tt3564574,Éternité,"5,5",NO DATA
tt3564924,The Remake,"6,3",65
tt3564122,Arise from Darkness,"7,2",47
tt3568166,The Far Side of Normal,NO DATA,NO DATA
tt3567194,Red Dog: True Blue,"6,4",NO DATA
tt3574352,Blue Jay,"4,6",92
tt3573170,Refugees,NO DATA,84
tt3575298,Ardmore Junction,NO DATA,NO DATA
tt3577616,Gelo,"5,8",NO DATA
tt3580074,Friends Effing Friends Effing Friends,"4,6",82
tt3579842,Essex Vendetta,"2,8",3
tt3581704,The Exchange,"6,8",NO DATA
tt3581904,Burns Point,"6,2",NO DATA
tt3582072,Moghamarat Dalila al-Makira,"8,2",84
tt3584954,La puerta abierta,"6,8",NO DATA
tt3586118,Hero of the Underworld,"4,1",NO DATA
tt3584390,Seattle Road,"4,7",NO DATA
tt3584550,Interference,"6,6",NO DATA
tt3589654,Chess,NO DATA,81
tt3589968,Courier X,"5,7",50
tt3589726,Khabar e khasi nist,"3,7",74
tt3587986,Nelumbo,NO DATA,NO DATA
tt3592252,Compartment,NO DATA,NO DATA
tt3593046,Lost in the Sun,"6,0",70
tt3598108,Bad Girl,"5,4",40
tt3595744,The Cardinal Rule,"6,6",98
tt3605406,Monodialogue,NO DATA,NO DATA
tt3607002,Songs,NO DATA,NO DATA
tt3606726,Heaven's Floor,"7,3",NO DATA
tt3606888,A Street Cat Named Bob,"7,3",77
tt3607038,The Life and Death of Julian Finn,"7,6",NO DATA
tt3611112,A Sunday Kind of Love,"4,9",NO DATA
tt3609728,Sands of Silence,"9,1",83
tt3610326,The Pastor,"6,5",6
tt3613314,The Ghoul,"5,6",77
tt3616340,Livet i min hand,NO DATA,75
tt3620120,Candiland,"4,1",56
tt3622110,Don't Knock Twice,"5,1",26
tt3624210,Eight,"5,1",NO DATA
tt3625836,Bleu,NO DATA,NO DATA
tt3626190,The Culture,NO DATA,88
tt3624344,03.ByPass,"6,4",NO DATA
tt3625136,Detours,"7,4",NO DATA
tt3626504,Scarlett,"4,6",90
tt3624078,The Silent Lynx,NO DATA,NO DATA
tt3628584,Barbershop: The Next Cut,"5,9",90
tt3631112,The Girl on the Train,"6,5",44
tt3630034,Apex Rising,"4,4",NO DATA
tt3633084,"Armenia, My Love...","6,1",NO DATA
tt3644024,Petits bonheurs,"6,5",78
tt3640424,Allied,"7,1",60
tt3643844,BB,"5,0",NO DATA
tt3638644,Seto Surya,"7,1",NO DATA
tt3644258,Stevie D,"4,9",NO DATA
tt3640140,The Other Side of November,"7,3",NO DATA
tt3645892,Broken Cross,"7,0",7
tt3646058,La Carga,"6,6",NO DATA
tt3647434,The Abolitionists,"7,8",89
tt3647498,Blood Father,"6,4",89
tt3652862,Morris from America,"6,3",88
tt3658772,Misconduct,"5,3",7
tt3655972,El olivo,"6,8",88
tt3660094,Ispoved zadrota,"5,9",NO DATA
tt3663020,So B. It,"6,8",45
tt3663564,Madtown,"6,2",63
tt3662694,Luci spente,NO DATA,NO DATA
tt3663680,Union Bound,"4,5",72
tt3665596,A Meeting of the Minds,"8,1",NO DATA
tt3665760,If There's a Hell Below,"4,3",NO DATA
tt3662778,Americana,"5,5",NO DATA
tt3663794,Dream of a Shadow,"5,8",NO DATA
tt3671748,The Cape Doctor,NO DATA,NO DATA
tt3667792,Natural Selection,"5,1",31
tt3675606,The Paper Store,"5,5",5
tt3675412,Radical,NO DATA,NO DATA
tt3678554,I Cantastorie,NO DATA,NO DATA
tt3679938,Further from Here,NO DATA,94
tt3681474,Embedded,"4,5",69
tt3685618,Drunk,"7,3",98
tt3687316,Youth in Oregon,"5,8",NO DATA
tt3683594,Susquehanna,NO DATA,NO DATA
tt3684870,Lucky U Ranch,"7,7",NO DATA
tt3692610,Okhwan's Mission Impossible,"6,9",NO DATA
tt3696358,Learning to Breathe,"5,4",NO DATA
tt3699578,You Are Never Alone,"7,5",83
tt3696498,BitterSüß,"5,6",NO DATA
tt3698714,The Stall,"3,4",NO DATA
tt3697920,The Great Fear,NO DATA,NO DATA
tt3699372,Let Me Make You a Martyr,"4,6",60
tt3701862,Fragmentos de Amor,"5,5",NO DATA
tt3702758,Tordenskjold & Kold,"5,3",NO DATA
tt3707104,Mine,"5,8",17
tt3703908,Standoff,"6,1",53
tt3709442,Quarries,"4,5",39
tt3704298,Vincent N Roxxy,"5,5",44
tt3704700,Brain on Fire,"6,6",13
tt3708792,Etsinnässä,"4,0",NO DATA
tt3708864,Drifting,NO DATA,NO DATA
tt3714720,The Hollars,"6,6",46
tt3716308,Die Schwalbe,"6,7",NO DATA
tt3716530,Elle,"7,1",91
tt3717214,A Timeless Love,"6,2",NO DATA
tt3717088,Durant's Never Closes,"5,0",17
tt3716658,Road Rage,"8,6",9
